"","unit","old_unit","Genotype","G..Alias","Replicates","maxET","slope.maxET-6","slope.07-maxET","slope.00-07","slope.19-23:45","curvmaxET","total.auc","auc.10-15","sd.10-15","auc.prop.10-15","auc.07-19","sd.07-19","auc.prop.07-19","auc.night","cos.sim.index"
"231","B-1001:10:1","B-2-10",32,"IP 9301",2,0.121092090136109,-0.00252742647979953,0.00134912991611457,5.15408100024295e-19,-0.000366688020868667,-6.09368751160539,2.49738226629528,1.19250785926695,0.0152783856689759,0.477503134126104,1.87582459901002,0.0235366250991179,0.75111632861584,0.621557667285265,0.898691603944399
"230","B-1001:11:1","B-2-11",15,"IP 12839",2,0.132274824430678,0.00874223899660684,0.00373900337325826,2.57704050012147e-19,-9.48649710256977e-05,-4.66558191577314,2.44095667220121,1.24626019403876,0.0268355938658617,0.510562194008508,1.81967056082573,0.0325169273970459,0.745474338626741,0.621286111375484,0.823953068188088
"229","B-1001:12:1","B-2-12",1,"Tift 383",2,0.123235718589906,0.00298967574020405,0.00331824775937694,-2.57704050012147e-19,-0.000360646966000458,-6.12068110223668,2.502861937676,1.21380835052284,0.0122137730616631,0.484968160748775,1.87112509638802,0.0250304077646245,0.74759421133929,0.631736841287983,0.865949171258131
"240","B-1001:1:1","B-2-1",13,"IP 3122",2,0.198794911126704,0.00168863572652568,0.00234776407024224,-2.57704050012147e-19,1.15405999953019e-05,-1.85514337124709,2.39684337506362,1.07032575733805,0.08442864364073,0.446556403507027,1.79233388237856,0.0593630482003511,0.74778932199981,0.604509492685059,0.57116265725808
"239","B-1001:2:1","B-2-2",17,"IP 12395",2,0.1616592242251,0.00631045991345875,0.00415009886735853,2.57704050012147e-19,-0.000464091857406783,-5.91830535071812,2.85284832639066,1.46600631525839,0.0245682111651609,0.513874607947748,2.13493801095695,0.0304249462287886,0.748353142789757,0.717910315433711,0.856424253302844
"238","B-1001:3:1","B-2-3",12,"IP 8955",2,0.1292877739442,0.00430124737247243,0.00132315363807083,1.28852025006074e-19,-0.000455335018335122,-5.53363566739536,2.53783632319146,1.19597561463124,0.0125892749983325,0.471257978184834,1.84068115001997,0.0265095650034579,0.725295454714439,0.697155173171491,0.812878419001569
"237","B-1001:4:1","B-2-4",40,"PT 732B-P2",2,0.120016758969483,0.00394364053131823,0.0032996519572192,-5.15408100024295e-19,-0.000273072919581857,-5.99828263203938,2.39824707920173,1.17154979686478,0.0104249657893637,0.488502542971818,1.78603814613905,0.0234104071025894,0.744726496960244,0.61220893306269,0.8680344455415
"236","B-1001:5:1","B-2-5",3,"IP 3106",2,0.131553955489936,-0.00329513403334126,0.00124689455696364,-1.9327803750911e-19,-0.000255273007522314,-5.70445529001138,2.17368708885338,1.04387627375993,0.0153565853916154,0.480233000928655,1.66594627848421,0.022669230700243,0.766414948603757,0.507740810369165,0.89077280256216
"235","B-1001:6:1","B-2-6",27,"IP 9651",2,0.182298505665214,0.00247341127450914,0.00402929425080199,7.73112150036442e-19,-0.00124249883279885,-5.81787485664037,5.13675323736321,2.02807412896405,0.0285369006000266,0.394816343174215,3.41537607293242,0.0363211687695582,0.664890041454588,1.7213771644308,0.88388978680535
"233","B-1001:8:1","B-2-8",8,"IP 17720",2,0.125300275736852,-4.14678225554297e-18,0.00352346744263075,5.15408100024295e-19,-0.000142027261944959,-5.92129449884344,2.6599620753748,1.39629275827413,0.0158461781171634,0.524929573696042,2.06282098394597,0.0295333664527394,0.775507667211877,0.597141091428826,0.899483619768371
"232","B-1001:9:1","B-2-9",36,"IP 15872",2,0.117130478785301,0,0,-1.9327803750911e-19,3.32482252667046e-19,2.49836854131218,1.0467406207616,0.237895595627637,0,0.227272727272727,0.487685971036656,0.00420543972206788,0.465909090909091,0.559054649724948,0.608134236572272
"219","B-1002:10:1","B-2-22",18,"IP 8210",2,0.136839621950769,0.000433940080454565,0.00201779531375556,3.86556075018221e-19,-0.000313015786984593,-6.15960349707047,2.33986470385052,1.08973202704153,0.00960835543723062,0.465724375109488,1.70864938465862,0.0200568328352287,0.730234266044031,0.631215319191901,0.893922461798941
"218","B-1002:11:1","B-2-23",4,"IP 8767",2,0.133966938333061,-0.000620036798578358,0.00143803551591873,2.57704050012147e-19,-0.000351162798612585,-6.40568246232047,2.71223586987998,1.27675910773926,0.0116098931424657,0.470740440356965,2.03733720259082,0.0240922423887497,0.751165201085911,0.674898667289164,0.903155863302066
"217","B-1002:12:1","B-2-24",22,"IP 10339",2,0.114718546085527,0.00367020317227781,0.00295505161880278,-3.86556075018221e-19,-0.000143469557228618,-5.52480039429461,2.61960636979692,1.29590556127044,0.0180648948982842,0.494694766439625,1.95336266304095,0.0275337016843106,0.745670298241175,0.666243706755971,0.875667571877212
"228","B-1002:1:1","B-2-13",25,"IP 10964",2,0.0908153743192768,0.00996470965170291,0.00324805178266489,-1.9327803750911e-19,-0.000432169838574541,-2.08767718080461,1.482957245628,0.502009993816851,0.0358073913649316,0.338519532708619,0.899235487506094,0.0252163128397591,0.606379914294351,0.583721758121907,0.420496239936694
"227","B-1002:2:1","B-2-14",38,"IP 7941",2,0.106095523287248,0.00710307794156813,0.00249547102477567,2.57704050012147e-19,-0.000302233771984076,-6.060985607564,2.12562420501601,1.00686129821728,0.0119782200501098,0.473677941680053,1.58748869068742,0.0202328358582707,0.746834123802922,0.538135514328595,0.880558775906099
"226","B-1002:3:1","B-2-15",34,"IP 10543",2,0.123683396442081,0.0112423330986941,0.00381672615038708,-3.86556075018221e-19,-0.000399913380225886,-6.09813391741577,2.50198185292482,1.26227523176709,0.0180485917334594,0.504510146742865,1.8880135543787,0.0264861378279698,0.754607213546177,0.613968298546122,0.872695128518262
"225","B-1002:4:1","B-2-16",6,"IP 7922",2,0.118308152263438,0.00329606741086578,0.00231095199562866,0,-0.000444278372945695,-5.72064458651197,2.18364158821784,0.970001875066715,0.0156655599268134,0.444212951567008,1.52095088269982,0.0204418516703238,0.696520386361175,0.662690705518021,0.810512351223256
"224","B-1002:5:1","B-2-17",10,"IP 4952",2,0.152691659600977,0.00370159066513278,0.00124625161671071,-2.57704050012147e-19,-0.000444227830296505,-4.50830650371994,2.45511833206059,1.14168823654274,0.0168238347177016,0.465023710520915,1.75543654089133,0.0301559265341631,0.715010970333958,0.699681791169259,0.810204541418076
"223","B-1002:6:1","B-2-18",23,"IP 13459",2,0.104325570923544,0.0107034686930193,0.00341254852638134,5.15408100024295e-19,-0.000496834903736687,-5.51570478789644,2.14392779106687,1.06930769758416,0.0201562037104018,0.498761059975834,1.5941087431966,0.024149241074017,0.743545911312311,0.549819047870263,0.851833410811368
