"","unit","old_unit","Genotype","G..Alias","Replicates","maxET","slope.maxET-6","slope.07-maxET","slope.00-07","slope.19-23:45","curvmaxET","total.auc","auc.10-15","sd.10-15","auc.prop.10-15","auc.07-19","sd.07-19","auc.prop.07-19","auc.night","cos.sim.index"
"231","B-1001:10:1","B-2-10",32,"IP 9301",2,0.121092090136109,0.00106917845669607,0.00194025558586601,0.000173935645704698,-0.000215697474654066,-5.7396248788921,1.76258049569963,0.84322806350338,0.0180591477709048,0.47840542066629,1.4669367284887,0.0192923573315145,0.832266516092603,0.295643767210926,0.842464420546624
"230","B-1001:11:1","B-2-11",15,"IP 12839",2,0.132274824430678,0.0100232320451295,0.00119386388186329,-7.69017588384007e-05,-0.000559361689479937,-4.36202248514302,1.95706447773408,0.889135557864946,0.0298886614105859,0.454321034376139,1.35231507102246,0.0253797541527121,0.690991577645,0.60474940671162,0.78654728331174
"229","B-1001:12:1","B-2-12",1,"Tift 383",2,0.123235718589906,0.00738444825483775,0.00112409100774073,0.000270709926967709,-0.000414125808884523,-5.3525034675344,1.65022650673516,0.877182944211029,0.0185456901199642,0.531553056886999,1.35942644312581,0.0210235788667085,0.82378172788857,0.290800063609352,0.826595527870361
"240","B-1001:1:1","B-2-1",13,"IP 3122",2,0.198794911126704,0.0081590686073937,0.00380150530633626,0.000176597577937948,0.00239235822785706,-4.62312111892027,1.81111463398346,1.19928607615886,0.0447581062649139,0.66218120800067,1.93998081561311,0.0436686616277507,1.07115296801849,-0.128866181629649,0.745673241048454
"239","B-1001:2:1","B-2-2",17,"IP 12395",2,0.1616592242251,-0.000544043948235426,0.00189509519317404,0.000343301052410487,-0.000556945407504403,-4.3946613322561,2.39823023882503,1.13416431289433,0.0464785101658246,0.47291719307567,1.74140136087933,0.0355514009257916,0.72611934112402,0.656828877945698,0.708857924777477
"238","B-1001:3:1","B-2-3",12,"IP 8955",2,0.1292877739442,0.00306855303427914,0.00225883154481806,-0.000163572209515692,-0.00029841439099179,-5.96520054086926,1.84864182345855,0.833135537168329,0.0149016953598011,0.450674395978801,1.44637019086678,0.0172224686241955,0.782396120499335,0.402271632591763,0.833162420440207
"237","B-1001:4:1","B-2-4",40,"PT 732B-P2",2,0.120016758969483,0.0111188784453878,0.00269618757474572,0.000172279811794035,-0.000167990356404041,-5.20029606881084,1.76112958134699,0.838909888332316,0.0217114369452705,0.476347622127089,1.43367489474219,0.0205742970772891,0.814065534942435,0.327454686604806,0.776908765792438
"236","B-1001:5:1","B-2-5",3,"IP 3106",2,0.131553955489936,0.00848200626751689,0.0028419208292506,8.76986522234694e-05,0.000143817383087542,-5.61352605471589,1.50410704554937,0.787588973746299,0.018421049696895,0.523625613001921,1.27404590025183,0.0194479051670205,0.847044699392716,0.230061145297537,0.805537466050869
"235","B-1001:6:1","B-2-6",27,"IP 9651",2,0.182298505665214,0.00923569490561971,0.00180645625323541,0.000132524327036537,-0.00028410320025253,-4.96995937567342,4.25655878039206,1.31120199078921,0.02481444447031,0.308042730862614,2.52579612073882,0.0212158621608421,0.593389226145297,1.73076265965325,0.764659403887252
"233","B-1001:8:1","B-2-8",8,"IP 17720",2,0.125300275736852,0.00404358144089671,0.00278827762945199,0.000264433227060365,-0.000149549242479822,-5.33786297381898,1.62702624371093,0.839775874708588,0.0185536384681491,0.516141566833748,1.32233252941326,0.0201772475202081,0.812729686767241,0.304693714297666,0.787718198204707
"232","B-1001:9:1","B-2-9",36,"IP 15872",2,0.117130478785301,0,0,-3.86556075018221e-19,-1.10827417555682e-19,0.310528616448573,1.26728187702064,0.270443342763752,0,0.213404253361186,0.631740021525822,0.00247485730102602,0.498500004601213,0.635541855494817,0.62615364934877
"219","B-1002:10:1","B-2-22",18,"IP 8210",2,0.136839621950769,0.00528824997156429,0.00277061874597847,-4.90604659068702e-05,-0.00034978470876826,-6.77465094704924,1.57474020821603,0.717552856129245,0.0105287183280407,0.455664275532875,1.33841155987234,0.0144139263203668,0.849925310149148,0.236328648343687,0.868460695157958
"218","B-1002:11:1","B-2-23",4,"IP 8767",2,0.133966938333061,0.00557010337502375,0.00271465150383758,0.000186434026898437,0.000343366776063895,-6.00042649464578,2.02906515390308,0.969257415251533,0.0149286625460729,0.477686689058301,1.67798039514295,0.0209841561240106,0.826972161004888,0.351084758760134,0.880771857948313
"217","B-1002:12:1","B-2-24",22,"IP 10339",2,0.114718546085527,0.0117889665331851,0.00127052059866961,-6.25783302619926e-05,0.000450580801080384,-5.04611427427918,1.90983121669536,0.958401387233314,0.0181034406084704,0.501825176410964,1.47859419508995,0.0274793795362815,0.774201501244916,0.431237021605407,0.806509985140779
"228","B-1002:1:1","B-2-13",25,"IP 10964",2,0.0908153743192768,0.00773684151371499,0.00186348305842933,-0.000301290859464177,-0.000324620098165077,1.24010585561475,1.16731474228196,0.23742413599969,0.0354340084392763,0.203393418586964,0.516973643571623,0.0302968224379627,0.442874252201253,0.65034109871034,0.134661525783793
"227","B-1002:2:1","B-2-14",38,"IP 7941",2,0.106095523287248,0.00529683962170508,0.00188325506129715,0.000209435837238068,0.000103802055766878,-6.20742137640912,1.51488409008402,0.782321493629706,0.0112212255316131,0.516423334795413,1.28504392810631,0.016625606099438,0.848278714205151,0.229840161977708,0.836655661288291
"226","B-1002:3:1","B-2-15",34,"IP 10543",2,0.123683396442081,0.012869219096964,0.00373546604524202,-0.000165021273052613,-0.000624939470567815,-4.69907794383828,1.90414621505667,0.860322912209916,0.0254797113371764,0.451815572463438,1.38616231523412,0.0235564334299196,0.72797052257506,0.517983899822542,0.781045239203094
"225","B-1002:4:1","B-2-16",6,"IP 7922",2,0.118308152263438,0.00528251089160266,0.0028721093824407,-0.00018154733233205,-1.61235216847338e-05,-3.08669587390179,1.68528514336339,0.700362442861231,0.0224593880208447,0.415575041184717,1.19895852726587,0.0183396286653641,0.711427696367785,0.486326616097521,0.686962251088374
"224","B-1002:5:1","B-2-17",10,"IP 4952",2,0.152691659600977,0.00771847949631313,0.0027325323209043,4.43132690593501e-05,-0.000951895678541594,-3.70536641877983,2.06146735394715,0.873083079256869,0.0355284476168472,0.423525057326351,1.44091517303719,0.0275583239089815,0.698975499310349,0.620552180909958,0.718851733286556
"223","B-1002:6:1","B-2-18",23,"IP 13459",2,0.104325570923544,0.00823134894136764,0.00133346170778451,5.3512216867855e-05,0.000111758523592937,-5.26796476030002,1.26960259348629,0.614841200254435,0.0145096309661068,0.484278469033449,1.10707037922109,0.0138672856037283,0.871981819272371,0.162532214265194,0.797643808892653
"221","B-1002:8:1","B-2-20",19,"IP 21169",2,0.128070885757073,0,0,0,0,0,0,0,0,NA,0,0,NA,0,NA
"220","B-1002:9:1","B-2-21",9,"IP 18090",2,0.117624976073368,0.00974556218964491,0.00269238787658485,-0.000245767405082574,-0.000169568624955412,-5.71839779748208,1.60412464653563,0.77682191757131,0.0142299479727024,0.484265308963978,1.29651345972162,0.01669714394776,0.808237353949801,0.307611186814014,0.829245955338555
"206","B-1003:11:1","B-2-35",31,"IP 3110",2,0.109907596507422,0.00285085431060855,0.00215321172936103,6.92412414957335e-06,0.000286689297022155,-5.58125683565732,1.41783759740041,0.640893978673344,0.0141848695739135,0.452022135573509,1.12782132808696,0.015444333190761,0.795451700642453,0.290016269313444,0.820757659877745
"205","B-1003:12:1","B-2-36",26,"ICMB 90111-P6",2,0.140404172151342,0.00204561422470327,0.00270444582851392,0.000303285650495218,-0.00021264201852666,-5.35371427281213,1.85381200109278,0.938273115707451,0.0217907737500425,0.506131751846659,1.56277366119609,0.0216283858941726,0.843005472116305,0.291038339896689,0.842637441130992
"216","B-1003:1:1","B-2-25",37,"IP 11218",2,0.119932699273098,0.0108500034069799,0.001819315719837,6.55337675928875e-05,-1.62293421732084e-05,-6.13717344105047,1.79470574979357,0.877109947796482,0.01847031792395,0.488720754306031,1.50371110073172,0.0200243457354572,0.837859410047958,0.29099464906185,0.859589007024453
"215","B-1003:2:1","B-2-26",29,"IP 18412",2,0.115249680574739,0.00451817987168036,0.00321634212647455,8.04045643890496e-05,3.8993975747393e-05,-5.98328374010819,1.67437945860211,0.809000710467115,0.0152032021311653,0.483164497934373,1.35241766481335,0.017585099340138,0.807712766580667,0.32196179378876,0.820404516631597
"214","B-1003:3:1","B-2-27",5,"IP 5695",2,0.140792812902667,0.0175703783654777,0.00338045748482845,-0.000375737470836004,0.000228493861401119,-4.64227957151139,2.0582409604503,0.937370847040826,0.0274191354564724,0.455423278932195,1.56530714254014,0.0239027622799875,0.760507235361639,0.492933817910157,0.812993840166671
"213","B-1003:4:1","B-2-28",33,"IP 3389",2,0.133750620761021,0.00687622077044605,0.0028341713712764,9.72601478407433e-05,2.67536758055892e-05,-5.57756276471676,2.30851069366036,1.01117445860909,0.0191358391153608,0.438020261888316,1.64579337242432,0.0217157123982064,0.712924300911407,0.662717321236042,0.812862647256576
"212","B-1003:5:1","B-2-29",28,"IP 11346",2,0.130819548475828,0.0129510325043261,0.00434317927743748,8.30918048717331e-05,-0.00023741126509428,-5.44473971844697,1.84200374909,0.999280080273041,0.029289014085157,0.542496224976041,1.55662775597695,0.027059940028813,0.845073066081413,0.285375993113057,0.827805535312415
"211","B-1003:6:1","B-2-30",14,"IP 18157",2,0.13749442928146,0.000491701654232072,0.00208259719207321,-7.57346157108346e-05,0.000419964881410704,-5.11599029900621,2.03857843616693,0.872689905964896,0.0176955901153029,0.428087480217728,1.46312807855825,0.0209024182518075,0.717719785807859,0.57545035760868,0.835062452353781
"210","B-1003:7:1","B-2-31",24,"IP 17150",2,0.13324506989703,0.00571071607107158,0.000865169772367876,0.000115764273487798,0.000213431737247332,-5.16133758091444,1.70882566458013,0.808811160831336,0.0193674881359518,0.473314029392265,1.41626571388522,0.0187649788235706,0.828794735028282,0.292559950694912,0.832279187508967
"209","B-1003:8:1","B-2-32",39,"IP 2058",2,0.114208460297664,0.00109705351627768,0.00211052622462239,0.000332457013769029,-0.00025836839201966,-5.23314876544895,2.63791306620598,1.02551280947244,0.0255299880899685,0.388759137899642,1.89307988641694,0.0219455266579002,0.717643015105003,0.744833179789037,0.823201363179681
"208","B-1003:9:1","B-2-33",11,"IP 8174",2,0.123392657945285,0.00752906215810313,0.000733589948557142,0.000218850850161004,-0.000163482930191889,-6.15376457411038,1.52931012352471,0.747259419191736,0.0157438775647367,0.488625170066534,1.26401135600561,0.0154171707628555,0.826523892415197,0.265298767519101,0.815204767195308
"195","B-1004:10:1","B-2-46",10,"IP 4952",4,0.125309574303556,0.00173936880410756,0.0032345210415337,-0.000267624665634754,-0.000572160790824855,-5.13961198483365,1.70298354818611,0.694645478767889,0.020687464609277,0.407899113005391,1.23915089920096,0.0179983161167551,0.727635273118643,0.463832648985156,0.740422765290737
"194","B-1004:11:1","B-2-47",20,"GICKV 93191 (=ICMV 93191)",4,0.158965141957779,0.0061474559246441,0.00128798036588451,-1.82964783663848e-05,-0.000105814364079359,-5.45891370292717,2.6641085286486,0.915516392786149,0.0148829167942373,0.343648309722035,1.72040633112286,0.016712105329217,0.645771864254928,0.943702197525739,0.808086876485318
"193","B-1004:12:1","B-2-48",29,"IP 18412",4,0.145963002246825,0.00552511205338348,0.00303709159543556,0.000252280377047884,-3.6085420130156e-05,-5.92721391245917,2.54671233024547,1.13271427777496,0.0240807209607258,0.444775118226949,1.9354120260291,0.0258873939647681,0.759964917530574,0.611300304216377,0.844191051093589
"204","B-1004:1:1","B-2-37",35,"IP 18389",2,0.145745722631531,0.00450785970136176,0.00303625328150792,0.000107413885603527,0.000211215505904627,-4.41404025717795,1.73477449558448,0.960394475318787,0.0283529917110356,0.553613439535385,1.38372912891041,0.0325887942714044,0.797642075343171,0.351045366674072,0.738987006295072
"203","B-1004:2:1","B-2-38",2,"IP 11275",2,0.0957528184395618,0.00418456999299899,0.00197027126387664,-0.000327383075376896,-0.000419647488629344,-4.69619903904532,1.53231160330937,0.621465192203498,0.0159063818614302,0.405573638456633,1.09021294549923,0.0143612801319688,0.711482536022484,0.442098657810141,0.721392681274064
"202","B-1004:3:1","B-2-39",20,"GICKV 93191 (=ICMV 93191)",2,0.0990920371049629,0.00888471208674338,0.00297591013518675,0.000231235601715204,-0.000211091883461308,-6.1316262819606,1.43910328102355,0.751308717615104,0.015741526273884,0.52206726752839,1.23530420433673,0.0177163978351035,0.858384676503645,0.203799076686815,0.799097327150805
"200","B-1004:5:1","B-2-41",23,"IP 13459",4,0.137982904155874,0.00886508682752201,0.00267426139620777,-3.25540163933608e-05,-0.000239052048955272,-5.4103994978266,2.30239527379609,0.917376274235983,0.0200416465146889,0.398444300453871,1.61909131222022,0.0195245325321489,0.703220394276926,0.683303961575873,0.846695917121109
"199","B-1004:6:1","B-2-42",26,"ICMB 90111-P6",4,0.15341901479935,0.0236591400601567,0.000544763688078975,-0.000124972989354426,-0.000403854453373941,-1.57939989826393,1.79845498759937,0.3505602085367,0.0606308205988711,0.194922981644727,1.225817307692,0.0462684789563855,0.681594655492746,0.572637679907367,0.408112145715161
"198","B-1004:7:1","B-2-43",36,"IP 15872",4,0.146981188746901,0.000422606614527054,0.000721701698657126,-0.000216983107553755,-0.000139015333726006,-5.05566675341169,1.66531167717972,0.721072536036791,0.0169185655265714,0.432995544268303,1.26202221757193,0.0177076075492488,0.757829441098514,0.403289459607783,0.799296777681698
"197","B-1004:8:1","B-2-44",37,"IP 11218",4,0.123586296018731,-0.00132993012670746,0.00050792748145373,-2.11855320237523e-05,-0.000238557368292696,-5.61696990356595,1.42390158368583,0.648912840318253,0.0144026995372736,0.455728715912032,1.25054552114798,0.0155192999084739,0.878252777773367,0.173356062537854,0.795549886552859
"196","B-1004:9:1","B-2-45",3,"IP 3106",4,0.191446384360322,0.0047374927809613,0.00318599087254364,0.000694658170106942,0.000216689832713142,-6.08711184925408,1.79468933127033,0.934611206833388,0.0217024402923434,0.520764898163095,1.45963270915082,0.0226405761679034,0.813306617317243,0.335056622119514,0.810630212822318
