"","unit","old_unit","Genotype","G..Alias","Replicates","2019-12-29","2019-12-31","2020-01-01","2020-01-03","2020-01-05","2020-01-07","2020-01-09","2020-01-12","2020-01-15","2020-01-19","2020-01-21","2020-01-24","2020-01-26","2020-01-28"
"231","B-1001:10:1","B-2-10",32,"IP 9301",2,1.59772139051542,0.935417021276596,1.01733159435313,1.10806382978723,1.56876659294169,1.13033277815599,0.857297951543422,1.92112577916727,1.77858667042264,1.4669367284887,1.91536603244803,1.76148325919103,1.87582459901002,1.7070331572471
"230","B-1001:11:1","B-2-11",15,"IP 12839",2,1.70073402944316,0.909484965986395,0.993273315591894,1.08608653061224,1.53022168081403,1.10436661558438,0.911698166226103,1.81574924512392,1.70671113109941,1.35231507102246,1.91425642124106,1.76120111469886,1.81967056082573,1.58976453045514
"229","B-1001:12:1","B-2-12",1,"Tift 383",2,1.68931614785045,0.933191080797482,1.04641317470788,1.05060264428122,1.72973806865627,1.30904476545962,1.05976424453032,1.98560305715556,1.60656265605309,1.35942644312581,1.67690444620844,1.76963233315535,1.87112509638802,1.61466562139227
"240","B-1001:1:1","B-2-1",13,"IP 3122",2,1.48009058701093,0.827709956709957,0.961662035527968,0.481809523809524,0.935757865191509,1.21070562770563,0.499474747474748,1.42561362932998,2.15222089214456,1.93998081561311,1.56682893312611,1.61849514608639,1.79233388237856,1.4669751405225
"239","B-1001:2:1","B-2-2",17,"IP 12395",2,1.82865821421158,1.17657232704403,1.03040933192944,1.27473710691824,1.92903815953196,1.52850210148077,1.2382086433625,2.26490587353701,2.09931106735085,1.74140136087933,1.84127539205907,1.91361429317305,2.13493801095695,1.46243817623021
"238","B-1001:3:1","B-2-3",12,"IP 8955",2,1.66828965933479,1.13657195121951,1.02905306235007,1.27338187069413,1.93610691707568,1.48250691928588,1.24252060427052,2.15891369477394,1.88046702181584,1.44637019086678,1.82182165916111,1.73006576376854,1.84068115001997,1.4834787378735
"237","B-1001:4:1","B-2-4",40,"PT 732B-P2",2,1.69170557832182,1.04270192307692,1.15769671521208,1.23664423076923,1.62243108121165,1.31735989403975,1.14317763088955,2.00123017263275,1.70536239265473,1.43367489474219,1.83967203693776,1.65343670682617,1.78603814613905,1.59050899815799
"236","B-1001:5:1","B-2-5",3,"IP 3106",2,1.43676404948437,0.878298373130517,1.04621332341376,1.13011807992882,1.38957648093988,1.06296099966386,0.927451116077667,1.5917601229821,1.43183328643862,1.27404590025183,1.76222337358631,1.77142654726132,1.66594627848421,1.55989894594022
"235","B-1001:6:1","B-2-6",27,"IP 9651",2,2.65906104643721,1.89268987341772,1.43557491136397,2.19967721518987,2.78943006514096,2.22946202531646,1.43306953691428,3.09162488703132,4.09760914297327,2.52579612073882,3.1843135888617,3.05917691829052,3.41537607293242,2.35616670800001
"233","B-1001:8:1","B-2-8",8,"IP 17720",2,1.52823814601885,0.922873575129534,0.927226621561539,0.986386528497409,1.46570694058894,1.0466362588015,0.959862638281812,1.62363107842705,1.50155969073982,1.32233252941326,1.88830968764579,1.83652306856559,2.06282098394597,1.85368722213596
