"","2019-12-29","2019-12-31","2020-01-01","2020-01-03","2020-01-05","2020-01-07","2020-01-09","2020-01-12","2020-01-15","2020-01-19","2020-01-21","2020-01-24","2020-01-26","2020-01-28"
"B-2-97",10322.6599090909,0,10322.6599090909,0,10322.6599090909,494.379,1449.11,2629.33,4495.89,10416.4,12729.2,20453,27262.25,33619.7
"B-2-98",11106.7952727273,0,11106.7952727273,0,11106.7952727273,268.598,2731.6,7594.98,6065.45,14152.2,9491.02,21586.9,26692.2,33591.8
"B-2-99",8456.47181818182,0,8456.47181818182,0,8456.47181818182,1039.86,2996.07,6953.67,3316.35,8540.19,4637.1,15236.9,22815.6,27485.45
"B-2-100",3868.25190909091,0,3868.25190909091,0,3868.25190909091,0,0,666.861,1275.54,2921.11,3277.58,6904.58,11764.55,15740.55
"B-2-101",4684.72413636364,0,4684.72413636364,0,4684.72413636364,71.6335,243.078,577.324,1622.57,4320.36,3242.75,10290.9,14201.05,16962.3
"B-2-103",9476.98709090909,0,9476.98709090909,177.748,9476.98709090909,1810.43,2858.84,5192.78,4265.62,10289.9,7942.34,17759.1,25582.45,28367.65
"B-2-104",2954.41354545455,0,2954.41354545455,0,2954.41354545455,0,0,139.521,276.688,1858.31,1398.5,5672.93,8073.65,15078.95
"B-2-105",17409.6113636364,0,17409.6113636364,0,17409.6113636364,1309.485,2858.69,4710.82,7092.03,14366.9,13560.1,38446.6,49034,60127.1
"B-2-118",7127.88845454545,0,7127.88845454545,0,7127.88845454545,669.953,1175.86,1919.455,3964.88,6936.555,8995.02,16207.7,19103.85,19433.5
"B-2-119",3650.364,0,3650.364,0,3650.364,0,21.0045,632.2055,837.494,2549.99,2177.67,8883.24,10471.25,14581.15
"B-2-120",10902.9055454545,0,10902.9055454545,0,10902.9055454545,689.101,1775.955,4364.965,6615.34,11300.25,12204.1,22221.2,26768.85,33992.2
"B-2-109",11633.6516363636,0,11633.6516363636,0,11633.6516363636,728.498,2105.32,3298.43,4476.37,11196.95,12370,24221.1,30726.2,38847.3
"B-2-110",6074.78163636364,0,6074.78163636364,0,6074.78163636364,318.643,1094.835,3187.555,2699.72,5464.385,4902.81,11964.6,15449.85,21740.2
"B-2-111",7013.61754545455,0,7013.61754545455,0,7013.61754545455,63.549,993.064,3416.755,3173.2,7403.275,8696.15,14280,17426.65,21697.15
"B-2-112",11863.435,0,11863.435,0,11863.435,1108.18,3942.43,7781.575,9415.7,13909.35,11948.3,23386.8,27055.2,31950.25
"B-2-113",5193.6405,0,5193.6405,0,5193.6405,0,0,425.2705,1138.39,4929.225,5472.76,11936.2,14417.6,18810.6
"B-2-114",7606.16290909091,0,7606.16290909091,0,7606.16290909091,304.832,1381.03,4155.855,3579.53,6736.035,5775.46,17046.8,23078.8,21609.45
"B-2-115",9916.37036363636,0,9916.37036363636,486.014,9916.37036363636,1114.94,3494.43,5139.38,3622.42,7317.89,7410.75,18722.2,29068.05,32704
"B-2-116",10471.759,0,10471.759,0,10471.759,478.339,1417.95,2017.375,4491.34,8041.725,7726.47,20303.2,33166.95,37546
