"","TS","Temp","RH","VPD","SR","WS"
"64","2019-12-28 15:45:00","26.78000","63.66000","1.27872696","158.6000","2.662000"
"65","2019-12-28 16:00:00","26.32000","59.00000","1.40416090","103.8000","2.695000"
"66","2019-12-28 16:15:00","22.97231","64.19000","1.00415736"," 86.0000","2.992000"
"67","2019-12-28 16:30:00","25.28000","68.61000","1.01084576"," 94.7000","2.443000"
"68","2019-12-28 16:45:00","25.63000","67.07000","1.08269909","107.8000","2.478000"
"69","2019-12-28 17:00:00","25.44000","62.29000","1.22596380"," 87.1000","2.158000"
"70","2019-12-28 17:15:00","22.97231","64.33000","1.00023159"," 67.2300","1.797000"
"71","2019-12-28 17:30:00","24.86000","68.60000","0.98619879"," 53.8300","2.602000"
"72","2019-12-28 17:45:00","24.65000","65.21000","1.07906302"," 53.6100","1.561000"
"73","2019-12-28 18:00:00","22.97231","68.11000","0.89423564"," 40.6500","3.031000"
"74","2019-12-28 18:15:00","23.62000","68.84000","0.90859241"," 13.6300","1.717000"
"75","2019-12-28 18:30:00","23.05000","70.63000","0.82745018","  7.2590","1.983000"
"76","2019-12-28 18:45:00","22.53000","72.01000","0.76411703","  1.0050","1.295000"
"77","2019-12-28 19:00:00","22.16000","72.88000","0.72390032","  0.7820","1.534000"
"78","2019-12-28 19:15:00","21.91000","74.54000","0.66931687","  0.2230","1.718000"
"79","2019-12-28 19:30:00","21.65000","76.42000","0.61013126","  0.4470","1.372000"
"80","2019-12-28 19:45:00","21.44000","78.02000","0.56147303","  0.6700","1.591000"
"81","2019-12-28 20:00:00","21.45000","78.90000","0.53932370","  0.4470","1.852000"
"82","2019-12-28 20:15:00","21.46000","78.08000","0.56062623","  0.7820","1.521000"
"83","2019-12-28 20:30:00","21.32000","79.95000","0.50842154","  0.4470","1.841000"
"84","2019-12-28 20:45:00","21.07000","79.61000","0.50917610","  0.6710","0.332000"
"85","2019-12-28 21:00:00","20.95000","79.28000","0.51361742","  0.3350","1.465000"
"86","2019-12-28 21:15:00","20.71000","81.10000","0.46163771","  0.4470","1.379000"
"87","2019-12-28 21:30:00","20.43000","78.20000","0.52336169","  0.2240","1.622000"
"88","2019-12-28 21:45:00","19.99000","75.80000","0.56539441","  0.3350","1.354000"
"89","2019-12-28 22:00:00","19.53000","74.99000","0.56788513","  0.6710","1.805000"
"90","2019-12-28 22:15:00","19.22000","76.84000","0.51583519","  0.4470","1.001000"
"91","2019-12-28 22:30:00","19.02000","74.98000","0.55035907","  0.7820","2.029000"
"92","2019-12-28 22:45:00","18.77000","75.52000","0.53014095","  0.4470","1.617000"
"93","2019-12-28 23:00:00","18.56000","76.93000","0.49308642","  0.5590","1.325000"
"94","2019-12-28 23:15:00","18.38000","77.47000","0.47614542","  0.6710","0.635000"
"95","2019-12-28 23:30:00","18.09000","78.84000","0.43912677","  0.3350","0.000000"
"96","2019-12-28 23:45:00","17.87000","80.80000","0.39297708","  0.5590","0.000000"
"97","2019-12-29 00:00:00","17.69000","81.80000","0.36831027","  0.3350","0.000000"
"98","2019-12-29 00:15:00","17.30000","83.20000","0.33171120","  0.4470","0.000000"
"99","2019-12-29 00:30:00","17.09000","84.00000","0.31174554","  0.0000","0.000000"
"100","2019-12-29 00:45:00","16.85000","85.20000","0.28401113","  0.3350","0.000000"
"101","2019-12-29 01:00:00","17.00000","83.20000","0.32547192","  0.1120","0.412000"
"102","2019-12-29 01:15:00","17.19000","82.30000","0.34705845","  0.1120","0.882000"
"103","2019-12-29 01:30:00","16.98000","82.30000","0.34247356","  0.0000","0.818000"
"104","2019-12-29 01:45:00","16.95000","81.90000","0.34954774","  0.0000","0.000000"
"105","2019-12-29 02:00:00","16.94000","82.90000","0.33002641","  0.1120","0.000000"
"106","2019-12-29 02:15:00","16.80000","83.00000","0.32519556","  0.3350","0.096000"
"107","2019-12-29 02:30:00","16.61000","82.90000","0.32318458","  0.1120","0.820000"
"108","2019-12-29 02:45:00","16.43000","81.70000","0.34192673","  0.0000","0.493000"
"109","2019-12-29 03:00:00","16.28000","81.70000","0.33867556","  0.0000","0.890000"
"110","2019-12-29 03:15:00","16.17000","80.40000","0.36019940","  0.0000","0.969000"
"111","2019-12-29 03:30:00","16.03000","82.10000","0.32603150","  0.2240","0.702000"
"112","2019-12-29 03:45:00","16.08000","79.75000","0.37001378","  0.1120","1.581000"
