"","unit","old_unit","Genotype","G..Alias","Replicates","maxET","slope.maxET-6","slope.07-maxET","slope.00-07","slope.19-23:45","curvmaxET","total.auc","auc.10-15","sd.10-15","auc.prop.10-15","auc.07-19","sd.07-19","auc.prop.07-19","auc.night","cos.sim.index"
"231","B-1001:10:1","B-2-10",32,"IP 9301",2,0.0716473311406384,0.00154672881209588,0.00333079284267765,0.00015338314523478,0.000277852029090774,-6.90981773649057,2.34357543858016,1.24231112937456,0.00897336711788106,0.5300922295581,1.89753775483704,0.0219603147987828,0.80967641305656,0.446037683743121,0.920753351748128
"230","B-1001:11:1","B-2-11",15,"IP 12839",2,0.0800904673019401,0.00174410076542309,0.00394178747321586,-8.98343720311451e-05,0.000163329528521762,-6.47867698417396,2.49134004538934,1.35674902458842,0.0116391902825232,0.544586046011392,1.97530784373581,0.0257952809244715,0.79286962347491,0.516032201653528,0.892331123077879
"229","B-1001:12:1","B-2-12",1,"Tift 383",2,0.070542263778801,0.00101587978840284,0.00318150941279702,7.8704150594436e-05,-0.000144893847602122,-7.130711543442,1.95222640672132,1.12740330040814,0.00744749268399677,0.577496184113996,1.70794023765451,0.020309420282188,0.874867910696346,0.244286169066803,0.926107487775483
"240","B-1001:1:1","B-2-1",13,"IP 3122",2,0.110790630387259,0.00621040536774987,0.00498554175711418,0.000144776710987012,0.000597295696468536,-5.97258350770687,1.67146984016084,1.60816012103488,0.0261147924498732,0.962123325467919,1.83016922482078,0.0414928099425077,1.09494600551372,-0.158699384659935,0.841210449827071
"239","B-1001:2:1","B-2-2",17,"IP 12395",2,0.0861007826321262,0.00310493508167475,0.00346522835285806,0.000113441950654559,0.000450037212601411,-6.25460191029784,2.5445233348364,1.37914295010196,0.0147646155934697,0.542004441940254,1.9733658169358,0.0269947558137801,0.775534572593212,0.571157517900597,0.914924269949339
"238","B-1001:3:1","B-2-3",12,"IP 8955",2,0.0781984836722399,0.00144100137885909,0.00308679046432929,6.3403402690434e-05,0.000400039769853214,-6.63188791713612,2.3290687332838,1.20968555934781,0.00996660448688189,0.519385942570381,1.82018926019236,0.0218276152038255,0.78150946521275,0.50887947309144,0.90104570278439
"237","B-1001:4:1","B-2-4",40,"PT 732B-P2",2,0.0700385391573198,0.00155914929639617,0.0032274456784046,9.34736248465125e-05,0.000253293265098643,-6.86653885073386,2.18227268685073,1.21039568302786,0.00900778373436995,0.554649146424778,1.82512075530656,0.0219508314971025,0.836339457623153,0.35715193154417,0.915952116973637
"236","B-1001:5:1","B-2-5",3,"IP 3106",2,0.069089479386932,0.00144496624577937,0.00327451282067993,2.39984818687616e-05,0.000259224010010006,-6.78980732273131,2.06699580663742,1.19108354256402,0.00875749475831203,0.576238973847591,1.7702516688235,0.0220275985737543,0.85643699089227,0.296744137813927,0.936168402660483
"235","B-1001:6:1","B-2-6",27,"IP 9651",2,0.160335269373524,0.00344992425239348,0.00393373678489803,0.000377265043938569,-0.000292466612510195,-6.82735974851982,4.53493045560921,1.95522943061582,0.0191523497708775,0.431148713250368,3.19455385200376,0.0308643099526174,0.704432820585474,1.34037660360545,0.91294909156075
"233","B-1001:8:1","B-2-8",8,"IP 17720",2,0.07755380122437,0.00198535740995528,0.00454444787050236,0.000115530833100612,0.000213306948456561,-6.81824652900752,2.19467133969355,1.32317210421436,0.0106294299659392,0.602902165933932,1.91791209211946,0.0258506317045191,0.873894900539992,0.276759247574083,0.904148560533732
"232","B-1001:9:1","B-2-9",36,"IP 15872",2,0.0676323225693133,1.45055021774668e-05,1.33739298542221e-06,-2.63041316099193e-07,-5.15937725959383e-05,-3.66088685466467,1.2051348403417,0.254110054334435,4.968555350392e-07,0.210856118193701,0.609809191877205,3.36146626344545e-06,0.506009096628809,0.595325648464491,0.665819036816811
"219","B-1002:10:1","B-2-22",18,"IP 8210",2,0.0685260044944572,0.00150587574885726,0.00295255268358624,-9.03107154113327e-06,-2.16535735668719e-05,-6.62844144611774,1.88349108509702,1.0529169168009,0.00873438186561924,0.559024104298675,1.58045338077145,0.0194583894128716,0.839108500845407,0.303037704325569,0.965088931668744
"218","B-1002:11:1","B-2-23",4,"IP 8767",2,0.0795337492477879,0.00278932520465058,0.00318845119557156,0.00028318538088705,7.09015727465051e-05,-6.79961378124571,2.40632243245702,1.31118805175554,0.0128522073526347,0.544892917952282,1.94465743400385,0.0245378999387593,0.808144996603061,0.461664998453172,0.935530145976978
"217","B-1002:12:1","B-2-24",22,"IP 10339",2,0.082970991603654,0.00202421256287428,0.00298695212640483,0.000234341765337153,0.000117632280428115,-6.65793037437087,2.07250360219235,1.1774521600395,0.0100648782005612,0.568130332219429,1.67244462275855,0.0231543508165587,0.806968258578363,0.400058979433806,0.889156944849133
"228","B-1002:1:1","B-2-13",25,"IP 10964",2,0.050994392172134,0.00177906680144013,0.00191284944249088,-0.000339065017259545,-0.000114190800914229,-1.49040576917051,1.7719725988391,0.41969861568388,0.00795640724057792,0.236853897153288,1.0046759577932,0.00676456071740351,0.566981655614434,0.767296641045893,0.685536500875093
"227","B-1002:2:1","B-2-14",38,"IP 7941",2,0.0629192810025565,0.000838387174172301,0.00280908741250195,1.74143399871838e-05,7.76031984361833e-05,-7.0372437580359,1.90346908664457,1.03644780927002,0.00621314259405523,0.544504671256349,1.59967012327395,0.0182038215581683,0.840397217111542,0.303798963370624,0.926069176945947
"226","B-1002:3:1","B-2-15",34,"IP 10543",2,0.0716007749200391,0.00155183049288239,0.00321724590912962,-0.000249115667788955,0.000424022949596478,-6.07307459311872,2.10150081498383,1.13689494547767,0.00966095058236889,0.540991912718538,1.640067991643,0.0220744449807782,0.780427007188967,0.461432823340824,0.883232692875386
"225","B-1002:4:1","B-2-16",6,"IP 7922",2,0.0785517944624839,0.00122997279070376,0.00256703160775197,-0.000139967316783601,0.000217085561130482,-6.37155116463587,2.09932831407316,0.940981256499378,0.00591728982467551,0.448229679079433,1.50140980604663,0.0155317381176024,0.715185802993132,0.597918508026527,0.879665962450435
"224","B-1002:5:1","B-2-17",10,"IP 4952",2,0.068206916345479,0.00122454904839164,0.00253588095563613,1.90106733004802e-05,0.000230914594655097,-6.58664471819585,2.04624429464243,1.02154456321528,0.00782389035869251,0.499229034328861,1.55299242715941,0.0180865115963516,0.758947712756256,0.49325186748302,0.895462536943928
"223","B-1002:6:1","B-2-18",23,"IP 13459",2,0.0646858681795975,0.00184288772665575,0.00191203138517829,8.28834161484852e-05,0.000299477082920111,-6.58012285377092,1.52977706374101,0.808132306326233,0.00933530786110221,0.528268023806016,1.26502589507093,0.0148071618365945,0.82693480315188,0.264751168670076,0.970948408257456
"221","B-1002:8:1","B-2-20",19,"IP 21169",2,0.0723725486024424,3.38822224247175e-05,1.04646181565964e-06,-2.66696184846001e-10,1.23819945541283e-05,4.15991014738862,0.162790694827444,0.0341327964025264,7.33471984657683e-07,0.209672895853825,0.0819358141982496,3.27628256907804e-06,0.503320010305876,0.080854880629194,0.662115176264462
"220","B-1002:9:1","B-2-21",9,"IP 18090",2,0.0636199126114015,0.00109123322480797,0.00281336832605191,7.30796190369806e-06,0.000198906059088161,-6.83993625013534,2.0053730563925,1.06246181036366,0.00754386081117955,0.52980756222732,1.62896402439448,0.018793339383484,0.812299746025735,0.37640903199802,0.91132458787801
"206","B-1003:11:1","B-2-35",31,"IP 3110",2,0.0709271807221952,0.000813738728297343,0.00259614294262306,2.30742594635915e-06,-0.000153133340934,-7.23436590360262,1.9037862573997,0.958696978483397,0.00515088563058136,0.503573851716337,1.57082342431261,0.0151641174963852,0.825104928773951,0.332962833087095,0.929568436292538
"205","B-1003:12:1","B-2-36",26,"ICMB 90111-P6",2,0.0778248389947554,0.00141826625629932,0.00298495090844503,0.000118898565742309,0.000580620664509707,-6.80470492308264,2.14454051472629,1.20516706577911,0.00766150225846913,0.561969828736448,1.81723716515278,0.0220627410863107,0.847378332409221,0.327303349573515,0.931156298554913
"216","B-1003:1:1","B-2-25",37,"IP 11218",2,0.0862059688338079,0.00216704532525738,0.00417277841235391,0.000403314915079291,4.82225359576743e-05,-6.98069542079213,2.4188695830467,1.409089298988,0.0117912609881094,0.582540418410312,2.06836003223461,0.0263670524346971,0.855093654792828,0.350509550812094,0.907485664108535
"215","B-1003:2:1","B-2-26",29,"IP 18412",2,0.0660458671487376,0.00152400067638854,0.0034162510667339,-0.000133784413484388,0.00010371511411348,-6.56187493453682,2.16709361288474,1.14671220856649,0.00831692316817886,0.52914751893899,1.72186692288542,0.0209294932371028,0.794551242571079,0.445226689999322,0.910090911688171
"214","B-1003:3:1","B-2-27",5,"IP 5695",2,0.0828148900521667,0.00242583150490876,0.003940221606755,-0.000260208000094279,0.000236319158786897,-6.13272743783896,2.38336756397358,1.36075773389465,0.0117814990059306,0.57093910081833,1.92002146234262,0.0269172069998627,0.805591840455166,0.463346101630957,0.920292098507098
"213","B-1003:4:1","B-2-28",33,"IP 3389",2,0.0766153077003846,0.00197258249254881,0.00350157036092626,0.000124479331590341,0.000195321341985379,-6.52389008137286,2.5465086948463,1.28867673981707,0.0113431020945132,0.506056288920249,1.91424383176324,0.0235847439989539,0.751713055461913,0.632264863083061,0.886656363876001
"212","B-1003:5:1","B-2-29",28,"IP 11346",2,0.0774535254811205,0.00129376097287853,0.0035357698113473,7.25008571719831e-05,7.28794750702317e-05,-6.84611876429521,2.24876599869384,1.27697499138517,0.00847651456846645,0.567855878347004,1.90516188237382,0.0234053362537724,0.847203258800783,0.343604116320023,0.942801823241119
"211","B-1003:6:1","B-2-30",14,"IP 18157",2,0.078209941573581,0.00189004291982733,0.00290906311243425,7.4659506537255e-05,0.000200694432726709,-6.59913767598196,2.45635237937456,1.23825177152876,0.0118206118956245,0.504101847082725,1.90164418233992,0.0221044496671661,0.774174014407544,0.554708197034633,0.939568822431235
"210","B-1003:7:1","B-2-31",24,"IP 17150",2,0.0648191974895995,0.0011814258437947,0.00282866906911913,4.04576033094756e-05,-4.6663665123379e-05,-7.16340359122114,1.93721014694509,1.11067935142758,0.00673968184453316,0.573339631314176,1.70438791233307,0.0197018644979212,0.879815705601596,0.232822234612025,0.939652245448106
"209","B-1003:8:1","B-2-32",39,"IP 2058",2,0.0791179668337515,0.00197566332802006,0.00266636852114893,7.53778653711255e-05,-8.5413679508046e-05,-6.76919314677893,2.59545950022146,1.1889259028251,0.00989035554193158,0.458079158131212,1.88465664498307,0.0193554497242564,0.726136025170982,0.710802855238385,0.886313610826073
"208","B-1003:9:1","B-2-33",11,"IP 8174",2,0.0613661386787499,0.00102625871002947,0.00297129660303394,-9.00937256017191e-05,7.61882816243742e-05,-6.96571435437609,1.94802966677336,1.00586339694008,0.00611930365181663,0.516349116287406,1.61746612276547,0.0167775869428421,0.8303087731947,0.330563544007891,0.918455982069841
"195","B-1004:10:1","B-2-46",10,"IP 4952",4,0.0745248156240538,0.00136112816878684,0.00313475362797526,-0.000266550217084366,-0.000227988846559391,-6.07224100142498,2.00934022563949,0.908763438113159,0.00899391561102282,0.45226956914374,1.44917217705365,0.0156189048310767,0.721217919475255,0.560168048585838,0.86464142100915
"194","B-1004:11:1","B-2-47",20,"GICKV 93191 (=ICMV 93191)",4,0.0732695958112524,0.000982860538042724,0.00163344294723285,-3.08142627935352e-05,0.000138091281219166,-6.72361419310273,2.72655499735677,1.04149605539499,0.00595617635599164,0.381982412386568,1.8197300433812,0.0142685213681277,0.667409989948972,0.906824953975568,0.875496127810958
"193","B-1004:12:1","B-2-48",29,"IP 18412",4,0.0941946759037734,0.00373900349883327,0.00281827099246695,0.000311096937478102,0.000167898511048945,-6.6725012386276,2.31349633672018,1.26302671784066,0.0179167262785596,0.545938499142489,1.8959357349495,0.0247731248031938,0.819511016662058,0.417560601770678,0.925738426105011
"204","B-1004:1:1","B-2-37",35,"IP 18389",2,0.0896998023212397,0.0019788558346701,0.00369172770636538,3.17350066257178e-05,0.000655753966469586,-6.57882119065772,2.11806775010616,1.3180226976624,0.0104342108360758,0.622275986023741,1.85783166784935,0.0266490734949239,0.877135147237965,0.260236082256809,0.889978558035885
"203","B-1004:2:1","B-2-38",2,"IP 11275",2,0.0592053022456684,0.00169880395836676,0.00335037088387924,-0.000310895258181259,0.000216778967262711,-5.72700367374912,1.93526245981356,0.880496537713141,0.010514260754453,0.454975258393618,1.40491496847729,0.0160385365963462,0.725955779978619,0.530347491336265,0.838538545262055
"202","B-1004:3:1","B-2-39",20,"GICKV 93191 (=ICMV 93191)",2,0.0610250294216413,0.00133933652723738,0.00279962520857809,7.16997492327935e-05,-0.00032718943706796,-7.13797180504212,1.59639304159184,0.977992656084455,0.00796643513962419,0.612626483957393,1.42508168308749,0.0185937185160616,0.892688483323926,0.171311358504351,0.905813446745939
"200","B-1004:5:1","B-2-41",23,"IP 13459",4,0.0732927840868629,0.0018941098241924,0.0030712904438339,-4.47164568953881e-05,3.97760662796491e-05,-6.55036790366506,2.58618590236092,1.24439986744553,0.010106153803254,0.481171854780246,1.94029492441844,0.0212831058264966,0.750253461147999,0.645890977942478,0.938211224247772
"199","B-1004:6:1","B-2-42",26,"ICMB 90111-P6",4,0.0416226833003122,0.000503188725211528,0.00102499278756589,0.000186888668406622,0.000115193265953334,-7.54578768879612,1.68942423631379,0.671589125736873,0.00284529059200429,0.397525447605887,1.19597821435503,0.00898552562155213,0.707920597235291,0.493446021958757,0.882786812959202
"198","B-1004:7:1","B-2-43",36,"IP 15872",4,0.0567807435811633,0.00123328740023363,0.00211260505013959,7.6027264084499e-05,0.000101961338577522,-7.06530792999774,1.83971591403862,0.922558040812474,0.00642492044519377,0.501467663443339,1.48928970704765,0.0150193301446811,0.80952156563037,0.350426206990969,0.952721938868393
"197","B-1004:8:1","B-2-44",37,"IP 11218",4,0.0791498897283134,0.00150535761838835,0.00346731748211855,0.000191748401387178,-0.000133810004212271,-7.33802498497207,1.93617741679058,1.1764659627599,0.00809353481111076,0.607623016650003,1.76993521186317,0.0215576544937831,0.914138960879436,0.166242204927409,0.917196960981349
"196","B-1004:9:1","B-2-45",3,"IP 3106",4,0.100093112060879,0.00152379126880331,0.00328469238823334,5.26209377725761e-05,-0.000277616024722493,-7.16790318608063,2.19925989830915,1.20823751777003,0.00919594062406626,0.549383689803535,1.89120675770917,0.0203625180929248,0.859928723823494,0.308053140599974,0.923065236879211
"183","B-1005:10:1","B-2-58",39,"IP 2058",4,0.083642506016475,0.00161687371091804,0.00255191729643787,0.000242196403585883,0.000249395467749537,-7.0421906283986,2.46565957372275,1.18003563067279,0.00982186228415847,0.478588221686713,1.90935812826754,0.0193832042429561,0.774380270746263,0.556301445455211,0.941975627745058
"182","B-1005:11:1","B-2-59",12,"IP 8955",4,0.0594750440067093,0.000683878599747617,0.00199921357159133,6.19348493661138e-05,-6.84112631076035e-05,-7.28552950343499,2.0644625734286,0.945979827544125,0.00398152394507731,0.45822086567211,1.63600824390265,0.0133357341841071,0.792462050394848,0.428454329525947,0.938504482372363
"181","B-1005:12:1","B-2-60",21,"IP 8426",4,0.052515773045281,0.001109167574815,0.00226916398490101,6.80165221297846e-05,0.000341842305720651,-6.30167090980597,1.38704217775029,0.848707050322022,0.00722533198555361,0.6118826550023,1.18204809591428,0.0174083194636516,0.852207751772551,0.204994081836012,0.895524979835954
"191","B-1005:2:1","B-2-50",7,"IP 7108",4,0.0745288084974602,0.001762251156409,0.00373895751108873,-5.51953179235951e-05,0.000193724355208295,-6.49087069538543,2.15981605819776,1.1777898242395,0.0104883494511653,0.545319505227815,1.7294063828747,0.022209876210996,0.800719291029713,0.430409675323062,0.899848336445414
"190","B-1005:3:1","B-2-51",28,"IP 11346",4,0.0732146112743457,0.00143087902681678,0.00321026993471457,-9.77292866802231e-05,0.000158901761111446,-6.67599609236237,2.04613043240183,1.16246437337502,0.00842852004944333,0.568128187219461,1.74181058997254,0.0211886055612963,0.851270555576429,0.304319842429286,0.941363716850974
"189","B-1005:4:1","B-2-52",31,"IP 3110",4,0.0642205394513175,0.00126448046006556,0.00264203101411871,0.000102484526107268,-0.000114327971808812,-7.39101203909845,2.11979113575973,1.12819179523044,0.00639170033447033,0.532218375762809,1.82603873815041,0.0182424836891983,0.861423895659398,0.293752397609323,0.946971102743276
"188","B-1005:5:1","B-2-53",18,"IP 8210",4,0.0900014310196341,0.00759664093631567,0.00321095264425094,0.00011582102842747,0.000510480948421844,-3.83809936749818,0.465422488242382,0.929137322922618,0.0328130648436449,1.99633096035261,0.642576942263874,0.0368000280810477,1.38063148751255,-0.177154454021492,0.611815210427331
"187","B-1005:6:1","B-2-54",1,"Tift 383",4,0.0606745562577127,0.000844280891343696,0.00159972650109103,-0.000147558511347025,0.000113499860115107,-6.75276671377639,1.31529508363736,0.716203790362919,0.00469706623723308,0.544519476483029,1.1065153864446,0.0127569625193713,0.841267788658195,0.208779697192764,0.925438928938308
"186","B-1005:7:1","B-2-55",13,"IP 3122",4,0.0792841821368875,0.00169957572117498,0.00337336199433836,7.84010968238661e-05,-0.000103166728979091,-6.98653622689593,2.18384765388402,1.21520143323864,0.0105721513205046,0.556449728110555,1.84251341033208,0.0215689725119215,0.843700524189554,0.341334243551944,0.931767695160241
"185","B-1005:8:1","B-2-56",5,"IP 5695",4,0.0768023336801456,0.00161318578787538,0.00352293110813518,0.000101961388174591,0.000180697431235805,-6.81980153280068,2.20234664632812,1.31875620796817,0.0100185719252877,0.598795929862759,1.91727156948157,0.0251935703086925,0.870558489363226,0.285075076846544,0.922247110136907
