"","unit","old_unit","Genotype","G..Alias","Replicates","maxET","slope.maxET-6","slope.07-maxET","slope.00-07","slope.19-23:45","curvmaxET","total.auc","auc.10-15","sd.10-15","auc.prop.10-15","auc.07-19","sd.07-19","auc.prop.07-19","auc.night","cos.sim.index"
"231","B-1001:10:1","B-2-10",32,"IP 9301",2,0.0716473311406384,0.00149150865005193,0.00241629852533651,5.09346316980474e-05,0.000713874404522294,-6.34620798621227,2.20763928929624,1.03055967319947,0.00758329779576586,0.466815243865315,1.71173189049562,0.0166241604339348,0.775367560631381,0.495907398800617,0.936708046407666
"230","B-1001:11:1","B-2-11",15,"IP 12839",2,0.0800904673019401,0.000568295780573992,0.00175895757983536,0.000112137320050455,0.000932790829134528,-6.32164796710776,2.05864948753779,0.975639419478019,0.00525159398560123,0.473922066570408,1.60867345026505,0.016669721831423,0.781421733035803,0.449976037272741,0.92489523521474
"229","B-1001:12:1","B-2-12",1,"Tift 383",2,0.070542263778801,0.00059255722355102,0.00261486346634627,-2.93375536060957e-05,0.000717360435731371,-6.20169398950148,2.05463324304145,1.02462635576678,0.00504582741156886,0.498690634563099,1.63872972531761,0.0175630186023541,0.797577733577313,0.415903517723847,0.932866662066728
"240","B-1001:1:1","B-2-1",13,"IP 3122",2,0.110790630387259,0.00296689343072717,0.00228582217906056,4.4827896889552e-05,0.000998937681839566,-5.09369177236271,1.9342197579562,0.931287098132442,0.0188676567987978,0.481479467005595,1.54131885109786,0.0229813903660873,0.79686852786909,0.392900906858336,0.923702477078217
"239","B-1001:2:1","B-2-2",17,"IP 12395",2,0.0861007826321262,0.00117823136906906,0.00218600466312858,1.28024800130297e-05,0.00104323439782964,-5.39787650590821,2.06617116467267,0.898537629789291,0.00648239788891504,0.434880539014609,1.45523671305585,0.0150882958164806,0.704315662679569,0.610934451616819,0.904095207699856
"238","B-1001:3:1","B-2-3",12,"IP 8955",2,0.0781984836722399,0.00132260190432168,0.00206787109580314,2.71697110353892e-05,0.0011635219050411,-5.43070056882882,2.09650289218542,0.923927627180782,0.00792113387883803,0.440699428855864,1.50812093804059,0.0159598562831457,0.719350754850859,0.58838195414483,0.91240761184011
"237","B-1001:4:1","B-2-4",40,"PT 732B-P2",2,0.0700385391573198,0.000703387865931462,0.00247390512508204,3.99922503390773e-05,0.000859259521553352,-6.25257250571684,2.06307264193434,1.0033574115353,0.00443242883908824,0.486341290723795,1.60534755943503,0.0170601123891685,0.778134287084457,0.457725082499315,0.917843955185838
"236","B-1001:5:1","B-2-5",3,"IP 3106",2,0.069089479386932,0.00105614802438545,0.00270033448843414,-4.1146471590494e-05,0.00073528595074811,-5.83222307344506,1.90698252147048,1.00388338976604,0.00958683812373917,0.526425060777136,1.54915060666458,0.0195917311772169,0.812357003392993,0.357831914805908,0.955914389621763
"235","B-1001:6:1","B-2-6",27,"IP 9651",2,0.160335269373524,0.00357176284638619,0.00223789716955419,0.000424284036301922,0.00109632455334768,-5.02278892820166,3.94935552300402,1.3210372475012,0.0147168980147967,0.334494385174109,2.35151154016874,0.0187810481840973,0.595416524663775,1.59784398283528,0.818534411087769
"233","B-1001:8:1","B-2-8",8,"IP 17720",2,0.07755380122437,0.00150477145326732,0.00342395995660394,5.28784087734836e-05,0.000809968910463408,-5.8514041738466,2.2766269411071,1.24495715052234,0.0131104087515859,0.546842843701449,1.87925011074005,0.0249906266617997,0.82545369063681,0.397376830367052,0.954544460834999
"232","B-1001:9:1","B-2-9",36,"IP 15872",2,0.0676323225693133,0.000178315223384354,2.9690808141114e-05,-0.000149264976932496,0.000262225575046498,1.23539060949235,0.857712618632262,0.212758036361581,0.000360686585080264,0.24805282298499,0.44532280202594,0.00193793834464897,0.519198146735987,0.412389816606321,0.711323827518065
"219","B-1002:10:1","B-2-22",18,"IP 8210",2,0.0685260044944572,0.00116355963656924,0.002411911282608,-1.66903051380276e-05,0.000731656572274942,-5.45036104861335,1.84587534462272,0.892198666471565,0.0080043787398985,0.483347193010979,1.38754032494887,0.0167388131433416,0.751697740040225,0.458335019673849,0.93459483940193
"218","B-1002:11:1","B-2-23",4,"IP 8767",2,0.0795337492477879,0.00106531545188213,0.00286413583819787,-6.57309474378712e-05,0.00104261434744138,-6.0869829874535,2.3558308672331,1.04919629799186,0.00645075329570249,0.445361469953116,1.73766395915432,0.0169837168827452,0.737601320758308,0.618166908078776,0.909046128698364
"217","B-1002:12:1","B-2-24",22,"IP 10339",2,0.082970991603654,0.00099638885953264,0.0030835311197586,-0.000170528735290101,0.0013685072549788,-5.61198047925706,2.28452585087981,1.06404742965988,0.0038261861043077,0.465762919360311,1.6871188969049,0.0191005601473044,0.738498492479374,0.597406953974911,0.892065008155064
"228","B-1002:1:1","B-2-13",25,"IP 10964",2,0.050994392172134,0.000908869772773594,0.000280014172063485,-0.000219140540408799,-0.000422353340154078,1.8807330576289,1.25230689265652,0.228531904604564,0.00328877512960325,0.182488738139721,0.631303544031094,0.00569325592718253,0.504112488506638,0.621003348625428,0.627562391887494
"227","B-1002:2:1","B-2-14",38,"IP 7941",2,0.0629192810025565,0.000739414750812735,0.00244929035581433,-0.000131293851444154,0.000669584832140171,-6.03176947210486,1.81058063996007,0.905579527236095,0.00439049125624524,0.500159731773156,1.44346734817011,0.0157414955775382,0.797240021412105,0.36711329178996,0.934658324808213
"226","B-1002:3:1","B-2-15",34,"IP 10543",2,0.0716007749200391,0.00129964713752296,0.00270470626928211,-0.000149124127108378,0.000858657416587712,-5.6702452861732,2.16549767837863,1.05647910495891,0.00765299373589796,0.487868962182368,1.62094953126247,0.019008879906369,0.748534411949182,0.544548147116165,0.917208343234963
"225","B-1002:4:1","B-2-16",6,"IP 7922",2,0.0785517944624839,0.000320672379062415,0.00162370638701325,-0.000126061251422306,0.000555809144839698,-5.79372615994782,1.97449636407533,0.779893198840551,0.00259518989407078,0.394983355264764,1.33932230667248,0.0112710858211264,0.678310849814958,0.635174057402848,0.871590416718065
"224","B-1002:5:1","B-2-17",10,"IP 4952",2,0.068206916345479,0.000794980237851594,0.00207440839364956,-3.56802800104549e-05,0.000698741667796812,-6.15520386395189,2.38643726960156,0.996267540642914,0.005709047583312,0.417470659435876,1.68682178391138,0.0154143339906381,0.706836842266135,0.699615485690177,0.908737487477361
"223","B-1002:6:1","B-2-18",23,"IP 13459",2,0.0646858681795975,0.00044175058407672,0.00219565722035794,3.80075394706177e-05,0.000554293474535329,-6.46137230517266,1.93116521946966,0.940472758841134,0.00382861352689183,0.486997564661717,1.53543341360812,0.0155294758194291,0.795081331275105,0.395731805861542,0.925396684587814
"221","B-1002:8:1","B-2-20",19,"IP 21169",2,0.0723725486024424,0.000714149516931688,0.0026665427652901,-0.000206919165170245,0.000146534242549479,-6.61356400301666,1.53149172536584,0.929560497606952,0.00543620543693274,0.606964100563389,1.40296359558843,0.0178133032245913,0.916076510471053,0.12852812977741,0.957968683998705
"220","B-1002:9:1","B-2-21",9,"IP 18090",2,0.0636199126114015,0.00144806281062122,0.0023242376810121,-7.68266303771559e-05,0.000809221730715442,-5.20317316877818,1.76811497742865,0.784164525132613,0.00626499895658161,0.443503129119474,1.243676769776,0.0134434837450485,0.703391343692292,0.524438207652644,0.898349249436099
"206","B-1003:11:1","B-2-35",31,"IP 3110",2,0.0709271807221952,0.000434080433628894,0.00151881084582738,4.39936314399906e-05,0.000579080355714394,-6.28527949035582,1.75875228482347,0.780736018248377,0.00460273391808912,0.443914714417409,1.36039991869223,0.012304619726065,0.77350285792452,0.398352366131236,0.936923756116292
"205","B-1003:12:1","B-2-36",26,"ICMB 90111-P6",2,0.0778248389947554,0.00109730570311256,0.00235989348794072,0.000119203645284426,0.000840399170024754,-6.3225745184791,2.18092598486054,1.06655780352054,0.00835569417119818,0.489038972860304,1.74874203148571,0.0184056621688073,0.801834653548565,0.432183953374826,0.944257830364114
"216","B-1003:1:1","B-2-25",37,"IP 11218",2,0.0862059688338079,0.00202823102170136,0.00319579985156987,-0.000248867823689843,0.00115151933972282,-5.14848170427986,2.70787617323364,1.26369334812025,0.0108358531475426,0.466673240309655,1.88354267139642,0.0236494593637285,0.695579321541564,0.824333501837218,0.890056317255839
