"","unit","old_unit","Genotype","G..Alias","Replicates","maxET","slope.maxET-6","slope.07-maxET","slope.00-07","slope.19-23:45","curvmaxET","total.auc","auc.10-15","sd.10-15","auc.prop.10-15","auc.07-19","sd.07-19","auc.prop.07-19","auc.night","cos.sim.index"
"231","B-1001:10:1","B-2-10",32,"IP 9301",2,0.0716473311406384,0.00125806168814546,0.00252013868585469,-0.000396134189254036,8.67643575569077e-05,-6.08300558419779,2.09578335057756,1.0410832385041,0.0072214557452813,0.496751364217678,1.58496204650354,0.018435847325201,0.756262352244926,0.510821304074023,0.90930393973457
"230","B-1001:11:1","B-2-11",15,"IP 12839",2,0.0800904673019401,0.00211934615283922,0.00300665402599803,-0.000296836629978054,7.6797114061374e-05,-5.72886077893095,2.34217171918689,1.18290211696617,0.0113623507390429,0.505045000448058,1.70518663967631,0.0224306559836807,0.728036559278536,0.636985079510573,0.909043325304387
"229","B-1001:12:1","B-2-12",1,"Tift 383",2,0.070542263778801,0.00180937621361713,0.00313555209486048,-0.000448173141539307,0.000191828592844849,-5.82169184176249,2.1000877205681,1.16032741149617,0.0102367866390472,0.552513783177726,1.66772279016829,0.0223261517690378,0.794120537839794,0.432364930399813,0.937451633689782
"240","B-1001:1:1","B-2-1",13,"IP 3122",2,0.110790630387259,0.00422510206347482,0.0036559065147154,-0.000105774715064723,6.75237791819504e-05,-4.42074799984726,2.09364251987957,1.26330479711099,0.0235499957533142,0.603400430166876,1.4951080305943,0.0319694903170751,0.714118105836091,0.59853448928527,0.894324006043189
"239","B-1001:2:1","B-2-2",17,"IP 12395",2,0.0861007826321262,0.00176223102389392,0.00277716945886993,-0.000264620847828189,9.81283623577863e-05,-5.71531611192261,2.6915843476113,1.2107037257475,0.0113829739012507,0.449810806346072,1.85422576555548,0.0210444539643959,0.688897513912595,0.837358582055822,0.90100137327955
"238","B-1001:3:1","B-2-3",12,"IP 8955",2,0.0781984836722399,0.00119360211567168,0.00240934938183215,-0.000149928822527063,0.000303730924437419,-5.77534123519741,2.39525769344483,1.0973803248242,0.00888595848923543,0.458147082807597,1.65414616380855,0.0196227542698707,0.690592151456397,0.741111529636279,0.869185639363576
"237","B-1001:4:1","B-2-4",40,"PT 732B-P2",2,0.0700385391573198,0.00155433021118898,0.00279597296653106,-0.000264352148225011,6.79518982590582e-05,-6.21293623856905,2.26979851227012,1.11545816975231,0.0083723327082069,0.491434884516111,1.69122448092562,0.0196901474348495,0.745098946793366,0.578574031344506,0.912101373383811
"236","B-1001:5:1","B-2-5",3,"IP 3106",2,0.069089479386932,0.00134243182511176,0.00257673973943421,-0.000334379529021714,0.000213186117949251,-6.05924003648249,1.79338132530869,0.990764397521358,0.00809707711003147,0.552456069180279,1.45312133496572,0.0185808951063855,0.81026902335765,0.34025999034297,0.93925993804116
"235","B-1001:6:1","B-2-6",27,"IP 9651",2,0.160335269373524,0.00346026861135483,0.0028541788624075,-0.000102817489465894,-0.000217913565803268,-5.72002440531431,4.19422380225213,1.62524023719154,0.018945631699624,0.387494877197266,2.70193933213718,0.0252092435524052,0.644204853991423,1.49228447011494,0.841422136592309
"233","B-1001:8:1","B-2-8",8,"IP 17720",2,0.07755380122437,0.0015261349357858,0.00293671391475861,-0.000413501126535986,-4.69814884068751e-05,-5.62825102734428,2.03948576370177,1.04367110326922,0.00905069491339488,0.511732477786415,1.49807748080015,0.0198414177398357,0.734536865842628,0.541408282901613,0.907446834975572
"232","B-1001:9:1","B-2-9",36,"IP 15872",2,0.0676323225693133,0.00264241032953775,0.00296772987773672,3.12478672482975e-06,-0.000184016321669876,-5.52557451015537,1.81778271713922,1.02334818280947,0.0143826861481282,0.562965074516708,1.36475555619,0.0219028171752271,0.750780356377147,0.453027160949219,0.935121705182135
